Name,Work ID #,Work Type,Line of Business,Project Manager/Owner,Sub-Portfolio,Sponsor.,Business Priority,Methodology,Part Of Program?,Capitalization Flag,Work Status,Current Gate,Stage,Status Reporting Frequency,Reported - This Period (d),Reporting Period,Reporting Period - Fortnightly,Reporting Period - Weekly,Overall Status Assessment,Scope Status Assessment,Cost Status Assessment,Schedule Status Assessment,Resourcing Status Assessment,Benefit Status Assessment,OCM Status Assessment,Quality Status Assessment,Risks Status Assessment,Issues Status Assessment,Baseline Start,Baseline Finish,Baseline Duration (d),Requested Start,Requested Finish,Duration at Complete (d),Actual/Schedule Start,Actual/Schedule Finish,Schedule Start,Schedule Finish,Actual Start,Actual Finish,Late Finish,Percent Complete,"Milestones, Total","Milestones,Completed","Milestones,Remain","Milestones, Scheduled","Milestones, Late","Milestones, Missed","Milestones, On Time","Changes, Active","Changes, Total","Risks, Active","Risks, Total",Are there changes to the business capability?,Are there changes to support arrangements?,Will there be Architecture changes?,"Issues, Active","Issues, Total",Gate 0 Date,Gate 1 Date,Gate 2 Date,Gate 3 Date
Project 76,1001449,Program (admin),,,Sub-Portfolio 4,,Important,,,,Requested,,,Weekly,,,,,,,,,,,,,,,,,,01/05/2024,20/12/2024,162.9,06/05/2024,20/12/2024,06/05/2024,20/12/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 77,1001357,Project,,Project Manager 11,Sub-Portfolio 1,,,,No,Capital,On Hold,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 78,1001354,Project,,Project Manager 2,Sub-Portfolio 8,Sponsor 18,,,No,Opex,Cancelled,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 79,1000300,Project,Line of Business 7,Project Manager 12,Sub-Portfolio 8,Sponsor 18,,Waterfall,Yes,Capital,Prepare for Closure,Gate 2,7. Closure,Monthly,,Sep-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,16/12/2022,31/10/2024,466.0,,,481.8,16/12/2022,22/11/2024,11/06/2024,22/11/2024,16/12/2022,,01/11/2024,93,64,64,,64,,,,,,,8,,,,,9,,,25/09/2024,
Project 80,1001617,Project,Line of Business 7,Project Manager 22,Sub-Portfolio 8,Sponsor 18,,,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Amber,Green,,,,01/07/2024,30/06/2025,278.0,05/11/2024,19/12/2025,05/11/2024,19/12/2025,15/11/2024,,13/11/2025,0,77,10,67,,,,,,,2,3,,,,,,25/09/2024,,,
Project 81,1000297,Project,Line of Business 7,Project Manager 22,Sub-Portfolio 8,Sponsor 18,,Waterfall,Yes,Capital,On Hold,Gate 3,7. Closure,Monthly,,Aug-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/07/2020,06/07/2029,"2,276.4",27/11/2023,28/06/2024,"2,276.4",01/07/2020,06/07/2029,,,01/07/2020,,,100,29,29,,29,,,,,,,6,Minor Changes,Minor Changes,Major Changes,,2,,,,27/09/2024
Project 82,1001384,Project,,Project Manager 11,Sub-Portfolio 8,,,,No,Capital,On Hold,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,01/07/2024,27/11/2026,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 83,1001806,Minor Work,,Project Manager 36,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,15/11/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 84,1000840,Project,Line of Business 18,Project Manager 39,Sub-Portfolio 7,Sponsor 22,,Hybrid,No,Capital,Requested,Gate 0,2. Concept,Monthly,,Apr-2024,,01 Mar 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/02/2023,30/06/2025,593.0,13/11/2023,30/05/2025,837.0,01/02/2023,30/06/2026,01/02/2023,30/06/2026,09/07/2024,,02/06/2025,0,42,19,23,27,,8,,,,,2,Moderate Changes,Moderate Changes,Moderate Changes,,4,09/07/2024,,,
Project 85,1001279,Project,Line of Business 13,Project Manager 1,Sub-Portfolio 7,,,,,Opex,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,200.0,11/03/2024,20/12/2024,11/03/2024,20/12/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 86,1001870,Project,,Project Manager 18,Sub-Portfolio 4,Sponsor 43,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/03/2025,30/06/2025,82.0,03/03/2025,30/06/2025,03/03/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 87,1001493,Project,,,Sub-Portfolio 2,,,Agile,No,Opex,On Hold,Gate 0,2. Concept,Weekly,,,,,,,,,,,,,,,01/08/2022,11/07/2025,731.0,03/06/2024,02/06/2025,822.0,01/08/2022,17/11/2025,17/01/2025,17/11/2025,01/08/2022,,13/11/2025,5,83,,83,54,51,54,22,,,,,Major Changes,Major Changes,Major Changes,,,31/05/2024,,,
Project 88,1000305,Project,Line of Business 7,Project Manager 25,Sub-Portfolio 8,Sponsor 18,,Hybrid,Yes,Capital,Prepare for Closure,Gate 2,7. Closure,Monthly,,Jun-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/10/2020,10/04/2024,900.0,03/04/2023,30/04/2024,"1,098.0",01/10/2020,31/01/2025,08/01/2024,31/01/2025,01/10/2020,,30/06/2025,17,15,15,,6,,,,,,,3,No Changes,Minor Changes,Major Changes,,2,,,,
Project 89,1001328,Project,Line of Business 24,Project Manager 25,Sub-Portfolio 8,Sponsor 18,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Green,Green,Green,Green,Amber,Green,Green,,Green,Green,13/03/2024,03/11/2025,407.0,02/04/2024,31/03/2025,407.0,13/03/2024,03/11/2025,25/03/2024,03/11/2025,13/03/2024,,02/06/2025,9,94,76,18,78,3,2,15,1,1,2,7,No Changes,No Changes,Minor Changes,2,4,28/08/2024,,,
Project 90,1001866,Light Project,Line of Business 12,Project Manager 3,Sub-Portfolio 4,Sponsor 16,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,27/02/2025,30/06/2025,84.0,27/02/2025,30/06/2025,27/02/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 91,1001276,Project,Line of Business 12,Project Manager 20,Sub-Portfolio 4,Sponsor 6,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,179.0,01/10/2024,30/06/2025,01/10/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 92,1001647,Project,Line of Business 12,Project Manager 27,Sub-Portfolio 4,Sponsor 19,Medium,Waterfall,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,08/10/2024,30/06/2026,418.0,06/01/2025,30/06/2025,418.9,08/10/2024,30/06/2026,08/10/2024,30/06/2026,19/11/2024,,08/04/2025,0,5,5,,5,,,,,,,,No Changes,No Changes,No Changes,,,26/02/2025,,,
Project 93,1001274,Project,Line of Business 12,Project Manager 23,Sub-Portfolio 4,,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 94,1001363,Project,Line of Business 12,Project Manager 39,Sub-Portfolio 4,Sponsor 19,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Weekly,,,,04 Apr 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,26/03/2024,30/06/2025,309.0,01/07/2024,30/06/2025,332.0,26/03/2024,31/07/2025,01/07/2024,31/07/2025,26/03/2024,,02/06/2025,34,51,23,28,43,20,21,8,,,2,2,No Changes,No Changes,No Changes,,,29/08/2024,,,
Project 95,1001483,Minor Work,Line of Business 12,Project Manager 19,Sub-Portfolio 4,,Important,,,Capital,Requested,,,Weekly,,,,,,,,,,,,,,,,,,29/04/2024,30/08/2024,88.9,29/04/2024,30/08/2024,29/04/2024,30/08/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 96,1001273,Minor Work,Line of Business 12,Project Manager 23,Sub-Portfolio 4,,Medium,,,,Requested,,,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 97,1000309,Project,Line of Business 12,Project Manager 3,Sub-Portfolio 4,Sponsor 19,,Waterfall,No,Capital,Completed,Gate 3,7. Closure,Weekly,,,,10 May 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/08/2022,06/11/2024,570.0,,,570.0,01/08/2022,06/11/2024,,,01/08/2022,06/11/2024,,100,17,17,,17,,,,,,,4,No Changes,No Changes,No Changes,,1,,,,26/02/2025
Project 98,1001863,Light Project,Line of Business 12,Project Manager 3,Sub-Portfolio 4,Sponsor 26,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,27/02/2025,30/06/2025,84.0,27/02/2025,30/06/2025,27/02/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 99,1001872,Project,Line of Business 12,Project Manager 20,Sub-Portfolio 4,Sponsor 8,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/03/2025,30/06/2025,82.0,03/03/2025,30/06/2025,03/03/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 100,1001275,Project,Line of Business 12,Project Manager 23,Sub-Portfolio 4,,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 101,1001823,Minor Work,Line of Business 12,Project Manager 3,Sub-Portfolio 3,,High,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,16/12/2024,30/06/2025,126.0,16/12/2024,30/06/2025,16/12/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 102,1000292,Project,Line of Business 12,Project Manager 3,Sub-Portfolio 4,Sponsor 19,,Waterfall,No,Capital,Prepare for Closure,Gate 2,7. Closure,Weekly,,Aug-2024,06 Jul 24 - 19 Jul 24,11 Oct 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,03/07/2023,26/04/2024,199.0,06/11/2023,15/08/2024,390.0,03/07/2023,05/02/2025,16/10/2023,05/02/2025,03/07/2023,,26/03/2024,13,10,10,,10,,,,,,,5,Moderate Changes,Major Changes,Major Changes,1,1,,,,29/10/2024
Project 103,1001271,Minor Work,Line of Business 12,Project Manager 23,Sub-Portfolio 4,,High,,,,Requested,,,Monthly,,,,,,,,,,,,,,,,,,11/03/2024,28/06/2024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 104,1001364,Project,Line of Business 12,Project Manager 39,Sub-Portfolio 4,Sponsor 19,,,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Apr-2025,,07 Mar 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/07/2024,31/07/2025,267.0,01/07/2024,30/06/2025,374.0,01/07/2024,14/01/2026,01/07/2024,14/01/2026,24/09/2024,,02/06/2025,1,20,10,10,15,5,6,5,,,6,6,,,,,,24/09/2024,30/12/2024,30/05/2025,30/08/2025
Project 105,1000303,Project,Line of Business 12,Project Manager 18,Sub-Portfolio 4,Sponsor 3,,Waterfall,No,Capital,Open/Active,Gate 3,7. Closure,Weekly,,,,01 Dec 23,Green,Green,Green,Green,Green,Green,Green,,Amber,Green,04/10/2022,01/10/2025,744.0,,,744.0,04/10/2022,01/10/2025,,,04/10/2022,01/10/2025,,100,19,19,,19,,,,,,,,,,,,,,,,
Project 106,1001608,Minor Work,Line of Business 12,Project Manager 5,Sub-Portfolio 4,,High,,No,Capex & Opex,Open/Active,,6. Implement,Weekly,,,,21 Mar 25,Green,Green,Amber,Green,Green,Green,Green,,Amber,Green,,,,16/09/2024,28/02/2025,178.9,01/10/2024,30/06/2025,01/10/2024,30/06/2025,,,27/06/2025,0,14,,14,,,,,,,,,,,,,,,,,
Project 107,1001825,Project,,Project Manager 18,Sub-Portfolio 4,Sponsor 28,,,,,Requested,,2. Concept,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,16/12/2024,30/06/2025,369.0,19/09/2024,31/03/2026,19/09/2024,31/03/2026,,,,0,,,,,,,,,,,,,,,,,,,,
Project 108,1001804,Minor Work,,Project Manager 36,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Weekly,,,,,,,,,,,,,,,,,,15/11/2024,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 109,1001784,Application Support,,Project Manager 13,Sub-Portfolio 1,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,311.0,01/07/2024,30/09/2025,01/07/2024,30/09/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 110,1001785,Application Support,,Project Manager 9,Sub-Portfolio 2,,High,,,Opex,Requested,,,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 111,1001786,Application Support,,,Sub-Portfolio 4,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 112,1001788,Application Support,,,Sub-Portfolio 5,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 113,1001789,Application Support,,,Sub-Portfolio 6,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 114,1001787,Application Support,,,Sub-Portfolio 7,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 115,1001790,Application Support,,,Sub-Portfolio 8,,High,,,Opex,Requested,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,30/06/2025,245.0,01/07/2024,30/06/2025,01/07/2024,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 116,1000298,Project,Line of Business 12,Project Manager 39,Sub-Portfolio 4,Sponsor 19,,Waterfall,No,Capital,Open/Active,Gate 3,6. Implement,Weekly,,,,04 Apr 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,16/08/2022,30/06/2025,712.0,03/07/2023,30/06/2025,759.0,16/08/2022,03/09/2025,24/11/2022,03/09/2025,16/08/2022,,27/06/2025,16,18,12,6,12,6,,,,,1,4,No Changes,No Changes,No Changes,,1,,,,
Project 117,1000301,Project,Line of Business 16,Project Manager 17,Sub-Portfolio 7,Sponsor 25,,Waterfall,No,Opex,Open/Active,Gate 1,6. Implement,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Red,Red,18/03/2021,31/10/2025,"1,168.0",,,"1,168.0",18/03/2021,31/10/2025,18/03/2021,31/10/2025,18/03/2021,,02/06/2025,40,74,64,10,64,,,10,,,1,1,No Changes,No Changes,Minor Changes,1,4,,,,
Project 118,1000293,Project,Line of Business 7,Project Manager 18,Sub-Portfolio 4,Sponsor 32,,Waterfall,No,Capital,Prepare for Closure,Gate 2,6. Implement,Fortnightly,,,19 Feb 24 - 01 Mar 24,12 Jan 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,16/08/2022,29/02/2024,385.0,,,467.0,16/08/2022,28/06/2024,12/02/2024,28/06/2024,16/08/2022,,15/03/2024,80,11,11,,11,,,,,,,5,,,,,1,,,,
Project 119,1000314,Project,Line of Business 7,Project Manager 34,Sub-Portfolio 7,Sponsor 14,,Hybrid,Yes,Capital,Open/Active,Gate 1,6. Implement,Monthly,,Mar-2025,,,Amber,Green,Green,Amber,Amber,Green,Green,,Green,Amber,22/03/2023,11/08/2025,588.0,22/03/2023,10/04/2025,588.0,22/03/2023,11/08/2025,11/09/2023,11/08/2025,22/03/2023,,30/06/2025,22,85,56,29,61,7,5,22,,,,1,Moderate Changes,Moderate Changes,Moderate Changes,,,,,,
Project 120,1001420,Light Project,Line of Business 7,Project Manager 18,Sub-Portfolio 4,Sponsor 48,Medium,,No,Capital,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,04/03/2024,30/08/2024,140.9,15/04/2024,31/10/2024,15/04/2024,31/10/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 121,1000962,Minor Work,Line of Business 15,Project Manager 28,Sub-Portfolio 7,Sponsor 29,,Hybrid,,,Prepare for Closure,,2. Concept,Monthly,,Mar-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,12/12/2023,28/06/2024,161.9,11/01/2024,30/08/2024,11/01/2024,30/08/2024,14/03/2024,,,36,,,,,,,,,,,,No Changes,No Changes,No Changes,,,,,,
Project 122,1000924,Project,Line of Business 7,Project Manager 18,Sub-Portfolio 4,,,,No,Opex,Requested,,2. Concept,Weekly,,,,01 Dec 23,Green,Green,Green,Green,Green,Green,Green,,Red,Green,,,,01/09/2023,30/04/2024,158.0,01/09/2023,30/04/2024,01/09/2023,30/04/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 123,1001829,Project,,Project Manager 36,Sub-Portfolio 7,Sponsor 40,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,28/01/2025,30/06/2025,106.0,28/01/2025,30/06/2025,28/01/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 124,1000315,Project,Line of Business 7,Project Manager 36,Sub-Portfolio 7,Sponsor 24,,Waterfall,,,Open/Active,,2. Concept,Monthly,,Oct-2023,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,,,"1,593.0",19/04/2021,27/08/2027,03/10/2023,27/08/2027,19/04/2021,,21/06/2027,10,4,4,,,,,,,,,,,,,,,,,,
Project 125,1000990,Project,Line of Business 17,Project Manager 12,Sub-Portfolio 8,Sponsor 18,,Waterfall,No,Capex & Opex,Completed,Gate 3,7. Closure,Monthly,,Jun-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,18/12/2023,15/05/2024,93.5,19/12/2023,28/03/2024,93.5,18/12/2023,15/05/2024,,,18/12/2023,15/05/2024,,100,,,,,,,,,,,1,,,,,2,,,,25/09/2024
Project 126,1000841,Project,Line of Business 18,Project Manager 39,Sub-Portfolio 7,,,,No,Opex,On Hold,Gate 0,3. Evaluate,Monthly,,Feb-2024,,26 Jan 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,15/01/2024,28/06/2024,115.0,15/01/2024,28/06/2024,15/01/2024,28/06/2024,,,,0,,,,,,,,,,,2,,,,,1,,,,
Project 127,1001375,Project,Line of Business 8,Project Manager 25,Sub-Portfolio 8,,,,,Capital,Requested,,2. Concept,Monthly,,Jun-2024,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,01/03/2024,28/06/2024,93.8,01/03/2024,16/07/2024,01/03/2024,16/07/2024,,,,0,,,,,,,,,,1,2,,,,,1,,,,
Project 128,1000296,Project,Line of Business 4,Project Manager 8,Sub-Portfolio 7,Sponsor 21,,Hybrid,Yes,Capex & Opex,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Amber,Green,Green,Amber,Amber,Green,Green,,Amber,Green,01/07/2019,02/06/2028,"2,262.5",23/08/2021,24/12/2026,"2,262.5",01/07/2019,02/06/2028,18/10/2019,02/06/2028,01/07/2019,,26/06/2030,15,163,63,100,65,2,3,93,,1,3,6,Major Changes,Major Changes,Major Changes,,1,,26/02/2025,,
Project 129,1001857,Project,,,Sub-Portfolio 7,Sponsor 46,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,17/02/2025,30/06/2025,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Project 130,1001269,Project,Line of Business 2,Project Manager 36,Sub-Portfolio 7,Sponsor 14,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,08/03/2024,31/07/2024,86.0,25/03/2024,26/07/2024,25/03/2024,26/07/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 131,1001871,Project,,,Sub-Portfolio 7,Sponsor 45,,,,,Requested,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,03/03/2025,30/06/2025,82.0,03/03/2025,30/06/2025,03/03/2025,30/06/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 132,1001643,Minor Work,,Project Manager 28,Sub-Portfolio 7,,Medium,,,,Open/Active,,6. Implement,Monthly,,,,,,,,,,,,,,,,,,30/09/2024,31/03/2025,160.0,30/09/2024,30/05/2025,30/09/2024,30/05/2025,,,,0,,,,,,,,,,,,,,,,,,,,
Project 133,1000869,Project,,Project Manager 17,Sub-Portfolio 7,Sponsor 50,,Hybrid,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/07/2021,31/07/2026,"1,271.0",15/11/2023,30/06/2027,"1,271.0",01/07/2021,31/07/2026,01/11/2023,31/07/2026,01/07/2021,,27/06/2025,10,51,19,32,19,,,32,,,2,3,Minor Changes,Minor Changes,Minor Changes,6,6,16/11/2023,,,
Project 134,1000838,Project,Line of Business 14,,Sub-Portfolio 7,,,,No,Capital,On Hold,,2. Concept,Monthly,,,,,,,,,,,,,,,,,,01/07/2024,17/12/2026,365.0,01/07/2025,17/12/2026,01/07/2025,17/12/2026,,,,0,,,,,,,,,,,,,,,,,,,,
Project 135,1001351,Project,Line of Business 19,Project Manager 30,Sub-Portfolio 8,Sponsor 10,,Hybrid,No,Capital,Open/Active,Gate 1,6. Implement,Monthly,,Mar-2025,,,Green,Green,Green,Amber,Green,Green,Green,,Green,Green,01/08/2024,30/06/2025,221.0,01/07/2024,20/12/2024,221.0,01/08/2024,30/06/2025,26/08/2024,30/06/2025,01/08/2024,,02/06/2025,34,72,56,16,55,1,2,13,,,2,7,No Changes,Minor Changes,Minor Changes,,1,21/08/2024,19/12/2024,,
Project 136,1000295,Minor Work,Line of Business 7,Project Manager 40,Sub-Portfolio 4,Sponsor 2,,Waterfall,No,Capital,Requested,Gate 1,6. Implement,Weekly,,,,06 Dec 24,Green,Green,Green,Green,Green,Green,Green,,Green,Green,29/08/2022,20/12/2024,582.0,,,703.0,29/08/2022,30/06/2025,01/05/2024,30/06/2025,29/08/2022,,27/06/2025,99,34,31,3,34,3,3,,,,1,22,No Changes,Minor Changes,No Changes,,3,,,,
Project 137,1001347,Project,Line of Business 7,Project Manager 16,Sub-Portfolio 8,Sponsor 18,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Weekly,,,,28 Mar 25,Green,Green,Green,Green,Green,Green,Green,,Green,Green,02/09/2024,25/06/2025,196.0,01/07/2024,30/06/2026,196.0,02/09/2024,25/06/2025,24/01/2025,25/06/2025,02/09/2024,,30/06/2026,8,30,6,24,30,4,24,20,,,1,3,Moderate Changes,Major Changes,Major Changes,,,25/09/2024,,,
Project 138,1001350,Project,Line of Business 13,Project Manager 25,Sub-Portfolio 8,Sponsor 18,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Feb-2025,,,Green,Green,Green,Green,Green,Green,Green,,Green,Green,01/07/2024,08/09/2025,295.0,01/07/2024,30/06/2025,197.0,01/07/2024,17/04/2025,01/07/2024,17/04/2025,06/09/2024,,02/06/2025,1,49,45,4,50,4,7,,,1,,10,No Changes,No Changes,Minor Changes,,3,28/08/2024,08/04/2025,,
Project 139,1001355,Project,,Project Manager 12,Sub-Portfolio 8,,,Hybrid,No,Capital,Open/Active,Gate 0,3. Evaluate,Weekly,,,,04 Apr 25,Green,Green,Green,Green,Amber,Green,Green,,Amber,Amber,01/07/2024,31/10/2025,332.9,01/07/2024,30/06/2025,332.9,01/07/2024,31/10/2025,01/07/2024,31/10/2025,30/08/2024,,02/06/2025,6,115,29,86,33,,4,86,,,2,4,Moderate Changes,Major Changes,Major Changes,1,1,,,,
Project 140,1001440,Project,Line of Business 24,Project Manager 13,Sub-Portfolio 8,,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Green,Green,Green,Green,Amber,Green,Green,,Green,Green,10/05/2024,04/06/2026,506.0,01/05/2024,30/06/2025,506.0,10/05/2024,04/06/2026,01/07/2024,04/06/2026,10/05/2024,,02/06/2025,6,67,29,38,46,2,22,30,,,2,2,No Changes,Moderate Changes,No Changes,1,2,,,,
Project 141,1000306,Light Project,Line of Business 7,Project Manager 26,Sub-Portfolio 5,Sponsor 43,,Hybrid,No,Opex,Completed,Gate 3,7. Closure,Monthly,,Jun-2024,,,Green,Green,Green,,Green,Green,,,Green,,01/01/2018,18/07/2024,"1,687.0",03/07/2023,28/06/2024,"1,677.0",12/01/2018,18/07/2024,,,12/01/2018,18/07/2024,,100,7,7,,7,,,,,,,,No Changes,No Changes,No Changes,,,,,,12/07/2024
Project 142,1001138,Application Support,,,Sub-Portfolio 5,,High,,,,Requested,,,Weekly,,,,,,,,,,,,,,,,,,01/02/2024,28/06/2024,115.0,15/01/2024,28/06/2024,15/01/2024,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 143,1001282,Project,,Project Manager 14,Sub-Portfolio 7,Sponsor 7,,Agile,No,Capital,Open/Active,Gate 0,3. Evaluate,Monthly,,Mar-2025,,,Amber,Amber,Amber,Amber,Green,Green,Green,,Amber,Amber,24/04/2024,16/02/2026,440.9,04/03/2024,30/06/2025,440.9,24/04/2024,16/02/2026,02/09/2024,16/02/2026,24/04/2024,,02/06/2025,23,59,43,16,48,7,5,9,,,5,12,Moderate Changes,Moderate Changes,Moderate Changes,3,9,28/03/2024,,,
Project 144,1001171,Minor Work,Line of Business 6,Project Manager 18,Sub-Portfolio 4,Sponsor 38,Important,,No,Capital,Requested,,2. Concept,Weekly,,,,,,,,,,,,,,,,,,26/02/2024,28/06/2024,85.9,26/02/2024,28/06/2024,26/02/2024,28/06/2024,,,,0,,,,,,,,,,,,,,,,,,,,
Project 145,1000921,Project,Line of Business 7,Project Manager 18,Sub-Portfolio 4,,,,No,Capex & Opex,Cancelled,,2. Concept,Weekly,,,,01 Dec 23,Green,Green,Green,Green,Green,Green,Green,,Green,Green,,,,01/08/2023,28/06/2024,223.0,01/08/2023,28/06/2024,,,01/08/2023,28/06/2024,,100,,,,,,,,,,,,,,,,,,,,
Project 146,1000310,Project,Line of Business 7,Project Manager 6,Sub-Portfolio 8,Sponsor 36,,Hybrid,No,Capex & Opex,Open/Active,Gate 1,5. Build & Test,Monthly,,Mar-2025,,14 Jun 24,Green,Green,Amber,Amber,Green,Green,Green,,Amber,Amber,03/07/2023,21/12/2029,"1,619.0",03/07/2023,30/06/2027,"1,619.0",03/07/2023,21/12/2029,01/02/2024,21/12/2029,03/07/2023,,08/05/2026,21,203,100,103,163,14,64,89,,,25,28,Moderate Changes,Major Changes,Moderate Changes,3,5,,,,
