Project Status,Schedule Variance,Project Description,Milestone Description,Milestone Type,Milestone Indentifier,Project Status,Stage,Work Notes:,Actual/Schedule Finish,Baseline Date,Variance (d),Variance (%)
Open/Active,N/A,Project 172,5.05 Service Continuity Runbook Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/05/2025,,,
Open/Active,N/A,Project 172,5.06 Release Requested (Opt),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/05/2025,,,
Open/Active,N/A,Project 172,BUILD & TEST PHASE COMPLETE,Governance,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/05/2025,,,
Open/Active,N/A,Project 172,5.00 ICT Release Board Approval (CAB),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.07 GR Cyber Sec Pre-Rel. Review Complete (Opt),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.04 HYB Release Retrospective Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.05 Service Design & Def'n & Onb'ding Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.01 Training Docs & App H'over Checklist Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.02 Implementation Plan Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.03 Go Live / Prod Readiness Checklist Complete,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,6.06 New Form for Creating New Service (IT Catal.),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,GO LIVE,Deliverable,Go-Live,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,IMPLEMENT PHASE COMPLETE (GATE 2),Governance,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/06/2025,,,
Open/Active,N/A,Project 172,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,31/07/2025,,,
Open/Active,N/A,Project 172,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,31/07/2025,,,
Open/Active,N/A,Project 172,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,31/07/2025,,,
Open/Active,N/A,Project 172,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,Open/Active,3. Evaluate,Delay reason shown here,31/07/2025,,,
Open/Active,N/A,Project 172,4.16 GR Cyber Sec Change Consult Requested (Opt),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,16/05/2025,,,
Open/Active,N/A,Project 172,4.17 GR Cyber Sec Sol'n Review Requested (Opt),Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,16/05/2025,,,
Open/Active,0%,Project 57,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/04/2025,08/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/04/2025,08/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/04/2025,08/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/04/2025,22/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/04/2025,22/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/04/2025,22/04/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,06/05/2025,06/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,06/05/2025,06/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,06/05/2025,06/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,20/05/2025,20/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,20/05/2025,20/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,20/05/2025,20/05/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,03/06/2025,03/06/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,03/06/2025,03/06/2025,0,0.0%
Open/Active,0%,Project 57,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,03/06/2025,03/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,01/04/2025,01/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,01/04/2025,01/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,01/04/2025,01/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,15/04/2025,15/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,15/04/2025,15/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,15/04/2025,15/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,29/04/2025,29/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,29/04/2025,29/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,29/04/2025,29/04/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,13/05/2025,13/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,13/05/2025,13/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,13/05/2025,13/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,27/05/2025,27/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,27/05/2025,27/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,27/05/2025,27/05/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,10/06/2025,10/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,10/06/2025,10/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,10/06/2025,10/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,24/06/2025,24/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,24/06/2025,24/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,24/06/2025,24/06/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/07/2025,08/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/07/2025,08/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,08/07/2025,08/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/07/2025,22/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/07/2025,22/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,22/07/2025,22/07/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,05/08/2025,05/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,05/08/2025,05/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,05/08/2025,05/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,19/08/2025,19/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,19/08/2025,19/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,19/08/2025,19/08/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,02/09/2025,02/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,02/09/2025,02/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,02/09/2025,02/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,16/09/2025,16/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,16/09/2025,16/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,16/09/2025,16/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Plan,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,14/10/2025,14/10/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Review,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,14/10/2025,14/10/2025,0,0.0%
Open/Active,0%,Project 143,Sprint Retrospective,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,14/10/2025,14/10/2025,0,0.0%
Open/Active,0%,Project 72,Site Locking - Banners - Server Stop - Decomm End,Deliverable,Unassigned,Open/Active,3. Evaluate,Delay reason shown here,30/09/2025,30/09/2025,0,0.0%
Open/Active,0%,Project 72,PCR-0001 - Extension to Oct'25,Governance,Project Kickoff,Open/Active,3. Evaluate,Delay reason shown here,02/04/2025,02/04/2025,0,0.0%
Open/Active,0%,Project 151,Ph1 - GovDC uplift Migration Implementation,Governance,Go-Live,Open/Active,5. Build & Test,Delay reason shown here,16/06/2025,16/06/2025,0,0.0%
Open/Active,0%,Project 151,Ph1 - GovDC Migration Build and Test Complete,Governance,Unassigned,Open/Active,5. Build & Test,Delay reason shown here,16/05/2025,16/05/2025,0,0.0%
On Hold,0%,Project 151,TCSS Mig'n Scratch & Design Complete,Governance,Unassigned,On Hold,5. Build & Test,Delay reason shown here,18/12/2024,18/12/2024,0,0.0%
On Hold,0%,Project 84,ICFMS DB migration plan as a subset of BC,Unassigned,Unassigned,On Hold,7. Closure,Delay reason shown here,21/12/2023,21/12/2023,0,
On Hold,0%,Project 84,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,On Hold,7. Closure,Delay reason shown here,31/07/2024,31/07/2024,0,
On Hold,-25% to -10%,Project 90,2.00 Investment Brief (or Equivalent) Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,30/01/2025,30/08/2024,-97,-11.8%
On Hold,-25% to -10%,Project 90,2.00 Arch Review & Cyber Sec Assessment Ready,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,30/01/2025,30/08/2024,-97,-11.8%
On Hold,-25% to -10%,Project 90,2.00 Prioritisation Score Ready,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,30/01/2025,30/08/2024,-97,-11.8%
On Hold,-25% to -10%,Project 90,CONCEPT PHASE COMPLETE (GATE 0),Governance,Project Kickoff,On Hold,2. Concept,Delay reason shown here,30/01/2025,30/08/2024,-97,-11.8%
On Hold,-25% to -10%,Project 90,3.01 Non-Standard Service Request Raised (Opt),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-10% to -5%,Project 90,3.04 PACT Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,27/02/2025,21/10/2024,-82,-10.0%
On Hold,-25% to -10%,Project 90,3.05 Business Impact Assessment Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-25% to -10%,Project 90,3.06 Business Requirements Document Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,19/02/2025,27/09/2024,-91,-11.1%
On Hold,-25% to -10%,Project 90,3.07 Product Vision Sign Off (Opt),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-10% to -5%,Project 90,3.11 Prelim Sol'n Arch Design (PSAD) Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,27/02/2025,21/10/2024,-82,-10.0%
On Hold,-10% to -5%,Project 90,3.14 Project Management Plan Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,27/02/2025,21/10/2024,-82,-10.0%
On Hold,-25% to -10%,Project 90,3.15 Benefits Realisation Plan Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-25% to -10%,Project 90,3.16 Stakeholder Assessment & Eng Plan Complete,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-25% to -10%,Project 90,3.17 Change on a Page Complete,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-25% to -10%,Project 90,3.18 Change Management Plan Complete,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-10% to -5%,Project 90,3.20 Test Strategy Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,03/03/2025,04/11/2024,-74,-9.0%
On Hold,-10% to -5%,Project 90,3.21 Final Business Case Approved - FIAC (>$1M),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,05/03/2025,11/11/2024,-71,-8.6%
On Hold,-25% to -10%,Project 90,3.22 IT Work Package (Opt),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-10% to -5%,Project 90,3.13 RFx/Other Procurement Document Sign Off,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,27/02/2025,21/10/2024,-82,-10.0%
On Hold,-25% to -10%,Project 90,DCS REGISTRATION COMPLETE (>$5M),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-10% to -5%,Project 90,EVALUATE PHASE COMPLETE (GATE 1),Governance,Project Kickoff,On Hold,2. Concept,Delay reason shown here,05/03/2025,11/11/2024,-71,-8.6%
On Hold,-5% to 0%,Project 90,4.01 Sol'n Architecture Design (SAD) Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,31/03/2025,18/02/2025,-29,-3.5%
On Hold,-5% to 0%,Project 90,4.02 Functional Specification Sign Off (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,11/03/2025,18/02/2025,-15,-1.8%
On Hold,-5% to 0%,Project 90,4.09 Test Plan Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,21/03/2025,18/02/2025,-23,-2.8%
On Hold,-5% to 0%,Project 90,4.10 Traceability Matrix Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,26/03/2025,18/02/2025,-26,-3.2%
On Hold,-5% to 0%,Project 90,4.11 Security Risk Assessment (SRA) Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,05/03/2025,18/02/2025,-11,-1.3%
On Hold,-5% to 0%,Project 90,4.12 Comms Plan Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,10/03/2025,18/02/2025,-14,-1.7%
On Hold,-5% to 0%,Project 90,4.13 Bus Change Readiness Assessment Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,13/03/2025,18/02/2025,-17,-2.1%
On Hold,-5% to 0%,Project 90,4.15 Detailed Change Impact Assessment Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,21/03/2025,18/02/2025,-23,-2.8%
On Hold,-5% to 0%,Project 90,ANALYSIS & DESIGN PHASE COMPLETE,Governance,Unassigned,On Hold,2. Concept,Delay reason shown here,04/04/2025,18/02/2025,-33,-4.0%
On Hold,0% to 5%,Project 90,5.01 Test Cases Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,18/03/2025,41,5.0%
On Hold,5% to 10%,Project 90,5.02 Test Summary Report/Cert Sign Off,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,03/02/2025,02/05/2025,61,7.4%
On Hold,5% to 10%,Project 90,5.04 Training Management Plan Sign Off (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,09/05/2025,76,9.2%
On Hold,5% to 10%,Project 90,5.06 Release Requested (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,03/02/2025,09/05/2025,66,8.0%
On Hold,5% to 10%,Project 90,BUILD & TEST PHASE COMPLETE,Governance,Unassigned,On Hold,2. Concept,Delay reason shown here,03/02/2025,09/05/2025,66,8.0%
On Hold,10% to 25%,Project 90,6.02 Implementation Plan Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,23/05/2025,86,10.5%
On Hold,5% to 10%,Project 90,6.03 Go Live / Prod Readiness Checklist Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,03/02/2025,30/05/2025,81,9.9%
On Hold,10% to 25%,Project 90,6.05 Service Design & Def'n & Onb'ding Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,06/06/2025,96,11.7%
On Hold,10% to 25%,Project 90,GO LIVE,Deliverable,Go-Live,On Hold,2. Concept,Delay reason shown here,03/02/2025,12/06/2025,89,10.8%
On Hold,10% to 25%,Project 90,IMPLEMENT PHASE COMPLETE (GATE 2),Governance,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,12/06/2025,99,12.0%
On Hold,10% to 25%,Project 90,7.01 Handover Document Sign Off,Deliverable,Gate 3 Approval,On Hold,2. Concept,Delay reason shown here,24/01/2025,20/06/2025,99,12.0%
On Hold,10% to 25%,Project 90,7.02 PIR Sign Off,Deliverable,Gate 3 Approval,On Hold,2. Concept,Delay reason shown here,03/02/2025,27/06/2025,99,12.0%
On Hold,10% to 25%,Project 90,7.03 Closure Memo Sign Off,Deliverable,Gate 3 Approval,On Hold,2. Concept,Delay reason shown here,10/02/2025,04/07/2025,99,12.0%
On Hold,0% to 5%,Project 90,PROJECT CLOSED (GATE 3),Governance,Gate 3 Approval,On Hold,2. Concept,Delay reason shown here,27/06/2025,11/07/2025,9,1.1%
On Hold,-25% to -10%,Project 90,3.02 GR Cyber Sec Requirements Form Submitted,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,27/09/2024,-87,-10.6%
On Hold,-25% to -10%,Project 90,3.03 GR Cyber Sec Assessment Form Submitted (Opt),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,20/02/2025,04/10/2024,-87,-10.6%
On Hold,-25% to -10%,Project 90,3.19 GR Service Design & Definition Team Engaged,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,27/02/2025,14/10/2024,-87,-10.6%
On Hold,-25% to -10%,Project 90,3.23 GR Records Management Team Engaged (Opt),Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,06/03/2025,20/09/2024,-107,-13.0%
On Hold,-5% to 0%,Project 90,4.16 GR Cyber Sec Change Consult Requested (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,05/03/2025,18/02/2025,-11,-1.3%
On Hold,-5% to 0%,Project 90,4.17 GR Cyber Sec Sol'n Review Requested (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,07/03/2025,18/02/2025,-13,-1.6%
On Hold,0% to 5%,Project 90,5.07 GR Cyber Sec Test Support Requested (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,25/02/2025,26,3.2%
On Hold,5% to 10%,Project 90,6.07 GR Cyber Sec Pre-Rel. Review Complete (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,16/05/2025,81,9.9%
On Hold,5% to 10%,Project 90,6.04 HYB Release Retrospective Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,16/05/2025,81,9.9%
On Hold,0% to 5%,Project 90,5.03 HYB Release Review Complete (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,25/02/2025,26,3.2%
On Hold,-5% to 0%,Project 90,4.03 HYB Team Charter (Opt),Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,18/03/2025,18/02/2025,-20,-2.4%
On Hold,-5% to 0%,Project 90,4.04 HYB Definition of Done,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,25/03/2025,18/02/2025,-25,-3.0%
On Hold,N/A,Project 54,5.01 Test Cases Sign Off,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,31/10/2024,,,
On Hold,N/A,Project 54,5.04 Training Management Plan Sign Off,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,31/10/2024,,,
On Hold,N/A,Project 54,6.05 Service Design & Def'n & Onb'ding Complete,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,20/01/2025,,,
On Hold,N/A,Project 54,5.07 GR Cyber Sec Test Support Requested (Opt),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,31/10/2024,,,
On Hold,N/A,Project 54,6.07 GR Cyber Sec Pre-Rel. Review Complete (Opt),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,06/12/2024,,,
On Hold,-25% to -10%,Project 90,2.00 P20 Cost Estimate Ready,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,30/01/2025,30/08/2024,-97,-11.8%
On Hold,-25% to -10%,Project 90,3.00 P50 Cost Estimate Ready,Deliverable,Project Kickoff,On Hold,2. Concept,Delay reason shown here,13/02/2025,20/09/2024,-92,-11.2%
On Hold,-5% to 0%,Project 90,4.00 P80 Cost Estimate Ready,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,05/03/2025,18/02/2025,-11,-1.3%
On Hold,5% to 10%,Project 90,5.05 Service Continuity Runbook Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,17/01/2025,09/05/2025,76,9.2%
On Hold,N/A,Project 54,6.06 New Form for Creating New Service (IT Catal.),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,22/01/2025,,,
On Hold,N/A,Project 54,5.03 Release Review Complete (Opt),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,31/10/2024,,,
On Hold,N/A,Project 54,5.06 Release Requested (Opt),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,31/10/2024,,,
On Hold,N/A,Project 54,4.12 Comms Plan Sign Off,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,11/10/2024,,,
On Hold,N/A,Project 54,4.13 Bus Change Readiness Assessment Complete,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,11/10/2024,,,
On Hold,N/A,Project 54,4.15 Detailed Change Impact Assessment Complete,Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,11/10/2024,,,
On Hold,N/A,Project 54,4.17 GR Cyber Sec Sol'n Review Requested (Opt),Deliverable,Unassigned,On Hold,4. Analyse & Design,Delay reason shown here,11/10/2024,,,
On Hold,N/A,Project 54,3.06 Business Requirements Document Sign Off,Deliverable,Project Kickoff,On Hold,4. Analyse & Design,Delay reason shown here,04/10/2024,,,
On Hold,N/A,Project 54,3.08 Release Plan,Deliverable,Project Kickoff,On Hold,4. Analyse & Design,Delay reason shown here,04/10/2024,,,
On Hold,N/A,Project 54,3.16 Stakeholder Assessment & Eng Plan Complete,Deliverable,Project Kickoff,On Hold,4. Analyse & Design,Delay reason shown here,13/09/2024,,,
On Hold,N/A,Project 54,3.18 Change Management Plan Complete,Deliverable,Project Kickoff,On Hold,4. Analyse & Design,Delay reason shown here,04/10/2024,,,
On Hold,N/A,Project 54,3.19 GR Service Design & Definition Team Engaged,Deliverable,Project Kickoff,On Hold,4. Analyse & Design,Delay reason shown here,13/09/2024,,,
On Hold,-5% to 0%,Project 90,4.00 ITSM Onboarding Checklist Complete,Deliverable,Unassigned,On Hold,2. Concept,Delay reason shown here,03/03/2025,18/02/2025,-9,-1.1%
